0;TrialType;2_PortFixCue;17:48:07.7011968
4;ModOutcome;FixationMod_done;17:49:36.2769408
4;ModEvent;FixationMod_off;17:49:36.2770944
4;FixationDur;0.120255;17:49:36.2781312
4;ModEvent;waiting;17:49:36.2838784
4;ModEvent;RespMod_on;17:49:36.2846592
4;ModOutcome;waiting;17:49:36.2901504
4;RespError_cuefrac;0.342335949379238;17:49:37.0133632
4;StimOn;False;17:49:37.0204544
4;valve_dur_ms;1600;17:49:37.0205568
4;ModOutcome;RespMod_perfect;17:49:37.0206080
4;ModEvent;RespMod_off;17:49:37.0206592
4;Cue_D;0.46;17:49:37.0211456
4;ModEvent;waiting;17:49:37.0216576
4;ModEvent;LickMod_on;17:49:37.0248832
4;valve_dur_ms;500;17:49:37.0261120
4;ModOutcome;waiting;17:49:37.0269440
4;valve_dur_ms;500;17:49:37.5377024
4;valve_dur_ms;500;17:49:38.0483840
4;valve_dur_ms;100;17:49:38.5624192
4;ModOutcome;LickMod_done;17:49:38.5672448
4;ModEvent;LickMod_off;17:49:38.5673472
4;StimOn;False;17:49:38.5783424
4;Trial_ended;True;17:49:38.5784704
4;valve_dur_ms;1600;17:49:38.5785600
4;ITI;0.814270525851413;17:49:38.5786240
4;ModEvent;waiting;17:49:38.5793792
4;ModOutcome;waiting;17:49:38.5794816
5;Event;TrialNum;17:49:39.4105728
5;ModEvent;FixationMod_on;17:49:39.4136320
5;anchor_xy;(0.624368328132838, -0.45);17:49:52.5235968
5;Cue_xyRel;(-0.232667606046512, -0.325370227735399);17:49:52.5236224
5;Cue_xy;(0.391700722086326, -0.775370227735399);17:49:52.5241088
5;StimOn;True;17:49:52.5286016
5;TimerEvent;FixationStarted;17:49:52.5286144
5;TimerEvent;FixationCompleted;17:49:52.5495168
5;ModOutcome;FixationMod_done;17:49:52.5574912
5;ModEvent;FixationMod_off;17:49:52.5575808
5;FixationDur;0.1259299;17:49:52.5621632
5;ModEvent;waiting;17:49:52.5632384
5;ModEvent;RespMod_on;17:49:52.5637376
5;ModOutcome;waiting;17:49:52.5670656
5;RespError_cuefrac;1.03173974833026;17:49:53.1531520
5;StimOn;False;17:49:53.1650560
5;valve_dur_ms;0;17:49:53.1651584
5;ModOutcome;RespMod_bad;17:49:53.1651840
5;ModEvent;RespMod_off;17:49:53.1652352
5;Cue_D;0.45;17:49:53.1658240
5;StimOn;False;17:49:53.1705600
5;Trial_ended;True;17:49:53.1706368
5;valve_dur_ms;1600;17:49:53.1707008
5;ITI;0.77238565044123;17:49:53.1707520
5;ModEvent;waiting;17:49:53.1714944
5;ModOutcome;waiting;17:49:53.1715200
6;Event;TrialNum;17:49:53.9492480
6;ModEvent;FixationMod_on;17:49:53.9514112
6;anchor_xy;(-0.33429892698503, -0.45);17:49:55.1343360
6;Cue_xyRel;(-0.0650967975801071, -0.394667463752479);17:49:55.1343744
6;Cue_xy;(-0.399395724565138, -0.844667463752479);17:49:55.1350016
6;StimOn;True;17:49:55.1410944
6;TimerEvent;FixationStarted;17:49:55.1411200
6;TimerEvent;FixationCompleted;17:49:55.1740160
6;ModOutcome;FixationMod_done;17:49:55.1817472
6;ModEvent;FixationMod_off;17:49:55.1818112
6;FixationDur;0.1318726;17:49:55.1824000
6;ModEvent;waiting;17:49:55.1837952
6;ModEvent;RespMod_on;17:49:55.1844608
6;ModOutcome;waiting;17:49:55.1900800
6;RespError_cuefrac;0.6690478184862;17:49:55.4390784
6;StimOn;False;17:49:55.4443520
6;valve_dur_ms;734;17:49:55.4444416
6;ModOutcome;RespMod_ok;17:49:55.4444800
6;ModEvent;RespMod_off;17:49:55.4445184
6;Cue_D;0.44;17:49:55.4449280
6;ModEvent;waiting;17:49:55.4454144
6;ModEvent;LickMod_on;17:49:55.4486400
6;valve_dur_ms;500;17:49:55.4499968
6;ModOutcome;waiting;17:49:55.4509824
6;valve_dur_ms;234;17:49:55.9568768
6;ModOutcome;LickMod_done;17:50:00.4287744
6;ModEvent;LickMod_off;17:50:00.4288512
6;StimOn;False;17:50:00.4369024
6;Trial_ended;True;17:50:00.4370560
6;valve_dur_ms;1600;17:50:00.4371584
6;ITI;0.74355209956111;17:50:00.4372224
6;ModEvent;waiting;17:50:00.4376704
6;ModOutcome;waiting;17:50:00.4377216
7;Event;TrialNum;17:50:01.1964544
7;ModEvent;FixationMod_on;17:50:01.2016896
7;anchor_xy;(0.386251696253313, -0.45);17:50:02.7485312
7;Cue_xyRel;(-0.353685487070178, -0.186833016985572);17:50:02.7485696
7;Cue_xy;(0.0325662091831347, -0.636833016985572);17:50:02.7493632
7;StimOn;True;17:50:02.7541632
7;TimerEvent;FixationStarted;17:50:02.7541760
7;TimerEvent;FixationCompleted;17:50:02.7857664
7;ModOutcome;FixationMod_done;17:50:02.7957760
7;ModEvent;FixationMod_off;17:50:02.7958272
7;FixationDur;0.1380958;17:50:02.7963776
7;ModEvent;waiting;17:50:02.7970176
7;ModEvent;RespMod_on;17:50:02.7973504
7;ModOutcome;waiting;17:50:02.7995648
7;RespError_cuefrac;0.777596193079077;17:50:03.0728832
7;StimOn;False;17:50:03.0781824
7;valve_dur_ms;445;17:50:03.0782848
7;ModOutcome;RespMod_ok;17:50:03.0783104
7;ModEvent;RespMod_off;17:50:03.0783616
7;Cue_D;0.43;17:50:03.0788480
7;ModEvent;waiting;17:50:03.0792960
7;ModEvent;LickMod_on;17:50:03.0829184
7;valve_dur_ms;445;17:50:03.0864768
7;ModOutcome;waiting;17:50:03.0882688
7;ModOutcome;LickMod_done;17:50:04.3695744
7;ModEvent;LickMod_off;17:50:04.3696640
7;StimOn;False;17:50:04.3750912
7;Trial_ended;True;17:50:04.3751552
7;valve_dur_ms;1600;17:50:04.3752064
7;ITI;0.637783080869253;17:50:04.3752448
7;ModEvent;waiting;17:50:04.3756544
7;ModOutcome;waiting;17:50:04.3758080
8;Event;TrialNum;17:50:05.0230016
8;ModEvent;FixationMod_on;17:50:05.0264320
8;anchor_xy;(-0.732240691623763, -0.45);17:50:35.8736896
8;Cue_xyRel;(-0.158483230170372, -0.367264299591949);17:50:35.8737152
8;Cue_xy;(-0.890723921794135, -0.817264299591949);17:50:35.8742144
8;StimOn;True;17:50:35.8788224
8;TimerEvent;FixationStarted;17:50:35.8788608
8;TimerEvent;FixationCompleted;17:50:35.8991360
8;ModOutcome;FixationMod_done;17:50:35.9072768
8;ModEvent;FixationMod_off;17:50:35.9073408
8;FixationDur;0.1446126;17:50:35.9079040
8;ModEvent;waiting;17:50:35.9085056
8;ModEvent;RespMod_on;17:50:35.9088000
8;ModOutcome;waiting;17:50:35.9108224
8;RespError_cuefrac;1.51629388657599;17:50:36.9368192
8;StimOn;False;17:50:36.9480320
8;valve_dur_ms;0;17:50:36.9481600
8;ModOutcome;RespMod_bad;17:50:36.9482112
8;ModEvent;RespMod_off;17:50:36.9482880
8;Cue_D;0.42;17:50:36.9490560
8;StimOn;False;17:50:36.9544832
8;Trial_ended;True;17:50:36.9545728
8;valve_dur_ms;1600;17:50:36.9546880
8;ITI;0.923725907655305;17:50:36.9547264
8;ModEvent;waiting;17:50:36.9551232
8;ModOutcome;waiting;17:50:36.9552896
9;Event;TrialNum;17:50:37.8862208
9;ModEvent;FixationMod_on;17:50:37.8890240
9;anchor_xy;(-0.327720241424497, -0.45);17:50:38.8492672
9;Cue_xyRel;(-0.096171128516203, -0.388266807800924);17:50:38.8493312
9;Cue_xy;(-0.4238913699407, -0.838266807800924);17:50:38.8505600
9;StimOn;True;17:50:38.8633856
9;TimerEvent;FixationStarted;17:50:38.8634112
9;TimerEvent;FixationCompleted;17:50:38.8845440
9;ModOutcome;FixationMod_done;17:50:38.8923008
9;ModEvent;FixationMod_off;17:50:38.8923776
9;FixationDur;0.1514369;17:50:38.8931072
9;ModEvent;waiting;17:50:38.8940160
9;ModEvent;RespMod_on;17:50:38.8946944
9;ModOutcome;waiting;17:50:38.8992384
9;RespError_cuefrac;0.82536841603965;17:50:39.2384896
9;StimOn;False;17:50:39.2481920
9;valve_dur_ms;357;17:50:39.2483328
9;ModOutcome;RespMod_ok;17:50:39.2483840
9;ModEvent;RespMod_off;17:50:39.2484608
9;Cue_D;0.41;17:50:39.2491776
9;ModEvent;waiting;17:50:39.2500096
9;ModEvent;LickMod_on;17:50:39.2535936
9;valve_dur_ms;357;17:50:39.2565632
9;ModOutcome;waiting;17:50:39.2578560
9;ModOutcome;LickMod_done;17:50:40.6218880
9;ModEvent;LickMod_off;17:50:40.6219520
9;StimOn;False;17:50:40.6267136
9;Trial_ended;True;17:50:40.6268160
9;valve_dur_ms;1600;17:50:40.6268672
9;ITI;0.596602758903337;17:50:40.6269056
9;ModEvent;waiting;17:50:40.6271872
9;ModOutcome;waiting;17:50:40.6272128
10;Event;TrialNum;17:50:41.2353024
10;ModEvent;FixationMod_on;17:50:41.2394112
10;anchor_xy;(-0.418047709189378, -0.45);17:50:42.1624448
10;Cue_xyRel;(0.186049578797054, -0.354098226809227);17:50:42.1624704
10;Cue_xy;(-0.231998130392324, -0.804098226809227);17:50:42.1629696
10;StimOn;True;17:50:42.1676672
10;TimerEvent;FixationStarted;17:50:42.1676928
10;TimerEvent;FixationCompleted;17:50:42.1888128
10;ModOutcome;FixationMod_done;17:50:42.1964800
10;ModEvent;FixationMod_off;17:50:42.1965568
10;FixationDur;0.1585833;17:50:42.1975168
10;ModEvent;waiting;17:50:42.1988352
10;ModEvent;RespMod_on;17:50:42.1994752
10;ModOutcome;waiting;17:50:42.2051456
10;RespError_cuefrac;0.97957026526011;17:50:42.5809792
10;StimOn;False;17:50:42.5947008
10;valve_dur_ms;175;17:50:42.5949184
10;ModOutcome;RespMod_ok;17:50:42.5949696
10;ModEvent;RespMod_off;17:50:42.5950208
10;Cue_D;0.4;17:50:42.5955200
10;ModEvent;waiting;17:50:42.5960448
10;ModEvent;LickMod_on;17:50:42.5992832
10;valve_dur_ms;175;17:50:42.6009216
10;ModOutcome;waiting;17:50:42.6019072
10;ModOutcome;LickMod_done;17:50:43.8579840
10;ModEvent;LickMod_off;17:50:43.8580992
10;StimOn;False;17:50:43.8710400
10;Trial_ended;True;17:50:43.8712064
10;valve_dur_ms;1600;17:50:43.8713600
10;ITI;0.537738316244324;17:50:43.8713984
10;ModEvent;waiting;17:50:43.8717568
10;ModOutcome;waiting;17:50:43.8717824
11;Event;TrialNum;17:50:44.4196992
11;ModEvent;FixationMod_on;17:50:44.4249088
11;anchor_xy;(-0.123068120308718, -0.45);17:50:45.2213120
11;Cue_xyRel;(-0.285247130951539, 0.280417678265682);17:50:45.2213504
11;Cue_xy;(-0.408315251260256, -0.169582321734318);17:50:45.2218496
11;StimOn;True;17:50:45.2264448
11;TimerEvent;FixationStarted;17:50:45.2264576
11;TimerEvent;FixationCompleted;17:50:45.2581888
11;ModOutcome;FixationMod_done;17:50:45.2659200
11;ModEvent;FixationMod_off;17:50:45.2660352
11;FixationDur;0.166067;17:50:45.2671104
11;ModEvent;waiting;17:50:45.2684928
11;ModEvent;RespMod_on;17:50:45.2691200
11;ModOutcome;waiting;17:50:45.2737920
11;RespError_cuefrac;0.954285578682418;17:50:46.7870720
11;StimOn;False;17:50:46.7942656
11;valve_dur_ms;197;17:50:46.7943808
11;ModOutcome;RespMod_ok;17:50:46.7944192
11;ModEvent;RespMod_off;17:50:46.7944704
11;Cue_D;0.39;17:50:46.7949568
11;ModEvent;waiting;17:50:46.7953664
11;ModEvent;LickMod_on;17:50:46.7984896
11;valve_dur_ms;197;17:50:46.7997952
11;ModOutcome;waiting;17:50:46.8007680
11;ModOutcome;LickMod_done;17:50:48.5155712
11;ModEvent;LickMod_off;17:50:48.5156224
11;StimOn;False;17:50:48.5205632
11;Trial_ended;True;17:50:48.5206528
11;valve_dur_ms;1600;17:50:48.5207168
11;ITI;0.825679892127253;17:50:48.5207552
11;ModEvent;waiting;17:50:48.5210624
11;ModOutcome;waiting;17:50:48.5210880
12;Event;TrialNum;17:50:49.3566592
12;ModEvent;FixationMod_on;17:50:49.3628160
12;anchor_xy;(-0.634733754445209, -0.45);17:50:49.9415296
12;Cue_xyRel;(-0.370961941121042, -0.149623655348038);17:50:49.9415680
12;Cue_xy;(-1.00569569556625, -0.599623655348038);17:50:49.9424384
12;StimOn;True;17:50:49.9536128
12;TimerEvent;FixationStarted;17:50:49.9536512
12;TimerEvent;FixationCompleted;17:50:49.9842304
12;ModOutcome;FixationMod_done;17:50:49.9919616
12;ModEvent;FixationMod_off;17:50:49.9921024
12;FixationDur;0.1739038;17:50:49.9929984
12;ModEvent;waiting;17:50:49.9942528
12;ModEvent;RespMod_on;17:50:49.9949184
12;ModOutcome;waiting;17:50:49.9971072
12;RespError_cuefrac;0.573400906964057;17:50:50.7725184
12;StimOn;False;17:50:50.7863936
12;valve_dur_ms;1141;17:50:50.7866880
12;ModOutcome;RespMod_ok;17:50:50.7868288
12;ModEvent;RespMod_off;17:50:50.7870464
12;Cue_D;0.38;17:50:50.7878912
12;ModEvent;waiting;17:50:50.7887360
12;ModEvent;LickMod_on;17:50:50.7920512
12;valve_dur_ms;500;17:50:50.7936640
12;ModOutcome;waiting;17:50:50.7947008
12;valve_dur_ms;500;17:50:52.7514112
12;valve_dur_ms;141;17:50:53.2633600
12;ModOutcome;LickMod_done;17:50:53.6686592
12;ModEvent;LickMod_off;17:50:53.6687744
12;StimOn;False;17:50:53.6812544
12;Trial_ended;True;17:50:53.6813824
12;valve_dur_ms;1600;17:50:53.6814720
12;ITI;0.817542385224971;17:50:53.6815360
12;ModEvent;waiting;17:50:53.6820992
12;ModOutcome;waiting;17:50:53.6821504
13;Event;TrialNum;17:50:54.5136256
13;ModEvent;FixationMod_on;17:50:54.5171072
13;anchor_xy;(-0.121058922405848, -0.45);17:50:55.5379712
13;Cue_xyRel;(-0.266237828800535, 0.298525406817539);17:50:55.5380096
13;Cue_xy;(-0.387296751206383, -0.151474593182461);17:50:55.5384960
13;StimOn;True;17:50:55.5431168
13;TimerEvent;FixationStarted;17:50:55.5432064
13;TimerEvent;FixationCompleted;17:50:55.5716608
13;ModOutcome;FixationMod_done;17:50:55.5796480
13;ModEvent;FixationMod_off;17:50:55.5797248
13;FixationDur;0.1821104;17:50:55.5803520
13;ModEvent;waiting;17:50:55.5811200
13;ModEvent;RespMod_on;17:50:55.5814912
13;ModOutcome;waiting;17:50:55.5848960
13;RespError_cuefrac;0.314202524863069;17:50:55.9701120
13;StimOn;False;17:50:55.9785600
13;valve_dur_ms;1600;17:50:55.9787136
13;ModOutcome;RespMod_perfect;17:50:55.9787776
13;ModEvent;RespMod_off;17:50:55.9788800
13;Cue_D;0.37;17:50:55.9794560
13;ModEvent;waiting;17:50:55.9801088
13;ModEvent;LickMod_on;17:50:55.9833728
13;valve_dur_ms;500;17:50:55.9850880
13;ModOutcome;waiting;17:50:55.9861248
13;valve_dur_ms;500;17:50:58.4390656
13;valve_dur_ms;500;17:50:58.9471744
13;valve_dur_ms;100;17:51:00.1736576
13;ModOutcome;LickMod_done;17:51:00.1776512
13;ModEvent;LickMod_off;17:51:00.1777280
13;StimOn;False;17:51:00.1847424
13;Trial_ended;True;17:51:00.1848960
13;valve_dur_ms;1600;17:51:00.1851136
13;ITI;0.699813499906945;17:51:00.1851904
13;ModEvent;waiting;17:51:00.1857152
13;ModOutcome;waiting;17:51:00.1857536
14;Event;TrialNum;17:51:00.9027840
14;ModEvent;FixationMod_on;17:51:00.9077760
14;anchor_xy;(0.584724604037928, -0.45);17:51:08.0100864
14;Cue_xyRel;(0.194975529640939, -0.349262856372153);17:51:08.0101632
14;Cue_xy;(0.779700133678867, -0.799262856372153);17:51:08.0114048
14;StimOn;True;17:51:08.0236288
14;TimerEvent;FixationStarted;17:51:08.0236544
14;TimerEvent;FixationCompleted;17:51:08.0441472
14;ModOutcome;FixationMod_done;17:51:08.0517632
14;ModEvent;FixationMod_off;17:51:08.0518528
14;FixationDur;0.1907043;17:51:08.0527488
14;ModEvent;waiting;17:51:08.0538368
14;ModEvent;RespMod_on;17:51:08.0543872
14;ModOutcome;waiting;17:51:08.0590976
14;RespError_cuefrac;0.401577775647748;17:51:08.6317056
14;StimOn;False;17:51:08.6393984
14;valve_dur_ms;1600;17:51:08.6395008
14;ModOutcome;RespMod_perfect;17:51:08.6395392
14;ModEvent;RespMod_off;17:51:08.6395904
14;Cue_D;0.36;17:51:08.6401664
14;ModEvent;waiting;17:51:08.6407936
14;ModEvent;LickMod_on;17:51:08.6442368
14;valve_dur_ms;500;17:51:08.6464896
14;ModOutcome;waiting;17:51:08.6476288
14;valve_dur_ms;500;17:51:13.6532480
14;valve_dur_ms;500;17:51:14.1572864
14;valve_dur_ms;100;17:51:14.6595328
14;ModOutcome;LickMod_done;17:51:14.9966208
14;ModEvent;LickMod_off;17:51:14.9967616
14;StimOn;False;17:51:15.0014848
14;Trial_ended;True;17:51:15.0015744
14;valve_dur_ms;1600;17:51:15.0016384
14;ITI;0.781690384625313;17:51:15.0016768
14;ModEvent;waiting;17:51:15.0019712
14;ModOutcome;waiting;17:51:15.0020224
15;Event;TrialNum;17:51:15.7880192
15;ModEvent;FixationMod_on;17:51:15.7911168
15;anchor_xy;(-0.383698047731862, -0.45);17:51:17.4978176
15;Cue_xyRel;(0.0796088263301609, 0.391998003528506);17:51:17.4978432
15;Cue_xy;(-0.304089221401702, -0.0580019964714944);17:51:17.4983552
15;StimOn;True;17:51:17.5029632
15;TimerEvent;FixationStarted;17:51:17.5029760
15;TimerEvent;FixationCompleted;17:51:17.5340288
15;ModOutcome;FixationMod_done;17:51:17.5416192
15;ModEvent;FixationMod_off;17:51:17.5416960
15;FixationDur;0.1997038;17:51:17.5421696
15;ModEvent;waiting;17:51:17.5426944
15;ModEvent;RespMod_on;17:51:17.5429888
15;ModOutcome;waiting;17:51:17.5449472
15;RespError_cuefrac;0.976339484877047;17:51:17.9392256
15;StimOn;False;17:51:17.9461760
15;valve_dur_ms;178;17:51:17.9462656
15;ModOutcome;RespMod_ok;17:51:17.9462912
15;ModEvent;RespMod_off;17:51:17.9463424
15;Cue_D;0.35;17:51:17.9467776
15;ModEvent;waiting;17:51:17.9472128
15;ModEvent;LickMod_on;17:51:17.9509376
15;valve_dur_ms;178;17:51:17.9547136
15;ModOutcome;waiting;17:51:17.9557376
15;ModOutcome;LickMod_done;17:51:19.2955648
15;ModEvent;LickMod_off;17:51:19.2956672
15;StimOn;False;17:51:19.3046272
15;Trial_ended;True;17:51:19.3047040
15;valve_dur_ms;1600;17:51:19.3047552
15;ITI;0.712477919977381;17:51:19.3048320
15;ModEvent;waiting;17:51:19.3053312
15;ModOutcome;waiting;17:51:19.3053696
16;Event;TrialNum;17:51:20.0197248
16;ModEvent;FixationMod_on;17:51:20.0228736
16;anchor_xy;(0.661380924084867, -0.45);17:51:22.5365504
16;Cue_xyRel;(-0.389271028078592, -0.092022098968869);17:51:22.5365760
16;Cue_xy;(0.272109896006275, -0.542022098968869);17:51:22.5371008
16;StimOn;True;17:51:22.5419392
16;TimerEvent;FixationStarted;17:51:22.5419520
16;TimerEvent;FixationCompleted;17:51:22.5653632
16;ModOutcome;FixationMod_done;17:51:22.5731968
16;ModEvent;FixationMod_off;17:51:22.5732864
16;FixationDur;0.2091279;17:51:22.5737728
16;ModEvent;waiting;17:51:22.5743616
16;ModEvent;RespMod_on;17:51:22.5746432
16;ModOutcome;waiting;17:51:22.5766016
16;RespError_cuefrac;0.0919745047200251;17:51:22.8451456
16;StimOn;False;17:51:22.8604160
16;valve_dur_ms;1600;17:51:22.8606208
16;ModOutcome;RespMod_perfect;17:51:22.8606720
16;ModEvent;RespMod_off;17:51:22.8607360
16;Cue_D;0.34;17:51:22.8611584
16;ModEvent;waiting;17:51:22.8615808
16;ModEvent;LickMod_on;17:51:22.8647808
16;valve_dur_ms;500;17:51:22.8660736
16;ModOutcome;waiting;17:51:22.8668416
16;valve_dur_ms;500;17:51:24.7689856
16;valve_dur_ms;500;17:51:25.2709632
16;valve_dur_ms;100;17:51:25.7726464
16;ModOutcome;LickMod_done;17:51:25.8576768
16;ModEvent;LickMod_off;17:51:25.8578176
16;StimOn;False;17:51:25.8700672
16;Trial_ended;True;17:51:25.8702080
16;valve_dur_ms;1600;17:51:25.8703616
16;ITI;0.789933774522475;17:51:25.8704128
16;ModEvent;waiting;17:51:25.8709888
16;ModOutcome;waiting;17:51:25.8710400
17;Event;TrialNum;17:51:26.6755840
17;ModEvent;FixationMod_on;17:51:26.6806016
17;anchor_xy;(-0.442948586564953, -0.45);17:51:28.4881664
17;Cue_xyRel;(-0.248128551380794, 0.313739098598929);17:51:28.4881920
17;Cue_xy;(-0.691077137945747, -0.136260901401071);17:51:28.4888576
17;StimOn;True;17:51:28.7095808
17;TimerEvent;FixationStarted;17:51:28.7096320
17;TimerEvent;FixationCompleted;17:51:28.7386624
17;ModOutcome;FixationMod_done;17:51:28.7463808
17;ModEvent;FixationMod_off;17:51:28.7464320
17;FixationDur;0.2189968;17:51:28.7469440
17;ModEvent;waiting;17:51:28.7474944
17;ModEvent;RespMod_on;17:51:28.7477760
17;ModOutcome;waiting;17:51:28.7500672
17;RespError_cuefrac;0.363960575932242;17:51:29.9294464
17;StimOn;False;17:51:29.9343744
17;valve_dur_ms;1600;17:51:29.9344640
17;ModOutcome;RespMod_perfect;17:51:29.9344896
17;ModEvent;RespMod_off;17:51:29.9345280
17;Cue_D;0.33;17:51:29.9349760
17;ModEvent;waiting;17:51:29.9353984
17;ModEvent;LickMod_on;17:51:29.9391104
17;valve_dur_ms;500;17:51:29.9426944
17;ModOutcome;waiting;17:51:29.9447680
17;valve_dur_ms;500;17:51:32.2651136
17;valve_dur_ms;500;17:51:32.7663360
17;valve_dur_ms;100;17:51:33.6854528
17;ModOutcome;LickMod_done;17:51:33.6893696
17;ModEvent;LickMod_off;17:51:33.6894208
17;StimOn;False;17:51:33.6941696
17;Trial_ended;True;17:51:33.6942464
17;valve_dur_ms;1600;17:51:33.6942848
17;ITI;0.823826167883271;17:51:33.6943232
